author_comment,submission_id,responder_id,success,group,stratum,stratum_group,treatment,position,reputation,word_count,pct_empirical_claims_Q4,pct_empirical_words_Q4,emp_claim_logit_Q4,super_cluster,comment_karma,link_karma,tenure_i,gold,num_cmv_post,num_cmv_comments,average_comment_length,deltas_received,cmv_tenure,poster_length_Q,reputation_poster_Q,poster_tenure_Q,pct_empirical_claims,position_z,reputation_10,poster_length,poster_tenure,reputation_poster,pct_empirical_words,emp_claim_logit,pct_empirical_claims_Q2,pct_empirical_words_Q2
challenger_000001,post_000001,dyad_000001,0,0,1,1,,0.3534883720930232,1.0,560,3,3,3,topic_005,,,0.0,,0,16,92.0,1,27,4,1,1,0.6666666666666666,0.0298578075500993,0.1,560,0.0,0,0.7989130434782609,0.6632942174102643,2,2
challenger_000002,post_000002,dyad_000002,0,1,1,1,0.0,0.0700636942675159,6.0,468,1,1,1,topic_002,2411.0,186.0,5.254513030539439,0.0,0,184,134.84782608695653,6,54,4,1,1,0.0476190476190476,-0.944621473433285,0.6,468,4.0,0,0.0585858585858585,-2.6149597780361984,1,1
challenger_000002,post_000003,dyad_000003,0,1,1,1,0.0,0.1157894736842105,6.0,572,3,4,3,topic_006,2411.0,186.0,5.254513030539439,0.0,0,184,134.84782608695653,6,54,4,1,1,0.7,-0.7874057186505685,0.6,572,0.0,0,0.8181818181818182,0.8023464725249373,2,2
challenger_000003,post_000004,dyad_000004,0,0,1,1,1.0,0.8387096774193549,4.0,1178,2,2,2,topic_004,37469.0,177.0,8.476714275247529,0.0,0,24,68.08333333333333,4,38,4,4,4,0.3125,1.6981603433770238,0.4,1117,89.0,6,0.3642213642213642,-0.7621400520468968,1,1
challenger_000002,post_000005,dyad_000005,0,1,1,1,0.0,0.0657894736842105,6.0,200,4,4,4,topic_005,2411.0,186.0,5.254513030539439,0.0,0,184,134.84782608695653,6,54,2,1,1,0.875,-0.9593172276376812,0.6,200,0.0,0,0.9444444444444444,1.6094379124341007,2,2
challenger_000004,post_000006,dyad_000006,0,1,7,3,1.0,0.009009009009009,118.0,424,3,3,3,topic_003,531211.0,1510.0,10.97322636742184,0.0,0,385,81.0909090909091,118,58,4,4,2,0.6,-1.154541534903748,11.8,424,27.0,1,0.6474820143884892,0.3677247801253175,2,2
challenger_000004,post_000007,dyad_000007,0,1,7,3,1.0,0.036036036036036,118.0,100,4,4,4,topic_002,531211.0,1510.0,10.97322636742184,0.0,0,385,81.0909090909091,118,58,1,1,1,1.0,-1.0616163949107142,11.8,100,0.0,0,1.0,2.3978952727983702,2,2
challenger_000004,post_000008,dyad_000008,0,1,7,3,1.0,0.0384615384615384,118.0,390,1,1,1,topic_004,531211.0,1510.0,10.97322636742184,0.0,0,385,81.0909090909091,118,58,3,4,2,0.1304347826086956,-1.0532769592703135,11.8,390,23.0,1,0.2142857142857142,-1.7676619176489945,1,1
challenger_000005,post_000009,dyad_000009,0,0,7,3,0.0,0.0857142857142857,101.0,187,3,3,3,topic_002,258709.0,70516.0,8.221607676520122,1.0,0,395,73.83037974683545,101,54,2,1,1,0.5555555555555556,-0.8908111375901852,10.1,187,0.0,0,0.7021276595744681,0.2006706954621514,2,2
challenger_000006,post_000009,dyad_000010,0,0,4,2,0.0,0.3333333333333333,33.0,187,3,3,3,topic_002,3263.0,184.0,4.91950910121655,0.0,0,543,93.50828729281768,33,54,2,1,1,0.5555555555555556,-0.0394398549873412,3.3,187,0.0,0,0.7021276595744681,0.2006706954621514,2,2
