treatment,stratum,stratum_group,comment_karma,link_karma,tenure_i,gold,deltas_received,num_cmv_post,num_cmv_comments,cmv_tenure,average_comment_length
1,1,1,1476,38,19.467632859048695,0,1.0,0,0,0,11.0
0,1,1,65633,6687,19.514176322429943,0,2.0,0,0,0,0.0
1,1,1,19365,4589,19.55250623344979,0,1.0,0,0,0,0.0
0,1,1,34421,1372,19.555244084236925,0,1.0,0,0,0,0.0
1,1,1,608,1158,19.568933338172585,0,1.0,0,0,0,0.0
0,1,1,815,349,19.686774999135395,0,2.0,0,0,0,0.0
0,1,1,104744,309685,19.894851658957435,1,5.0,0,5,48,145.46153846153845
1,1,1,32483,2878,19.77164837353649,1,1.0,0,0,0,0.0
0,1,1,6532,16,19.842832494001925,0,1.0,0,0,0,0.0
0,1,1,3682,168,19.38121567269739,1,1.0,0,0,0,0.0
1,1,1,44248,3208,19.52512772557847,0,6.0,0,0,0,0.0
1,1,1,30483,791,19.3867097216745,0,4.0,0,0,0,0.0
0,1,1,31520,98,19.382062188275253,0,1.0,0,0,0,0.0
1,1,1,65387,1020,19.568933338172585,0,1.0,0,0,1,46.2
0,1,1,28951,3615,19.711415656219582,0,3.0,0,0,0,36.333333333333336
0,1,1,51249,17976,19.425597438104138,0,2.0,0,0,0,0.0
0,1,1,147128,58440,19.39543728650833,0,9.0,0,0,15,78.33333333333333
1,1,1,63230,13762,19.752483418026564,0,9.0,0,0,13,50.0
0,1,1,27077,932,19.555244084236925,0,1.0,0,0,0,0.0
0,1,1,4336,1644,19.41217433241803,0,1.0,0,0,0,0.0
1,1,1,16868,1822,19.88937595738317,0,1.0,0,0,0,0.0
1,1,1,101248,20667,19.911278763680222,0,1.0,0,0,0,67.0
1,6,3,24192,35217,19.326529574895275,0,79.0,0,0,0,0.0
0,7,3,213122,38053,19.263170510834637,0,408.0,0,67,54,73.3852140077821
1,1,1,29375,315,19.262965995915884,0,7.0,0,0,0,0.0
1,1,1,1894,1254,19.244273921740408,0,2.0,0,0,0,0.0
1,1,1,3498,2124,19.24159383833736,0,1.0,0,0,0,0.0
1,1,1,224686,3481,19.23493766042776,0,5.0,0,4,41,217.91666666666663
0,1,1,362911,8398,19.230540653050777,0,1.0,0,0,0,0.0
1,1,1,184958,40536,19.222442952338422,0,2.0,0,0,0,0.0
0,1,1,5513,288,19.192242239990215,0,1.0,0,0,0,0.0
1,1,1,67566,34069,19.151641940854663,0,3.0,0,0,0,0.0
1,1,1,135395,2063,19.098538853167387,1,1.0,0,0,0,0.0
1,1,1,241363,1624,19.089980439346313,1,5.0,0,0,0,0.0
0,2,2,76693,2907,19.058547408951096,0,15.0,0,0,0,0.0
1,1,1,301330,4396,19.04652627933414,0,1.0,0,0,0,0.0
1,1,1,16416,4481,19.01656024896428,0,1.0,0,1,0,201.0
1,1,1,85200,2764,19.013432634697036,0,1.0,0,0,0,0.0
0,1,1,45314,1865,18.999907176487284,0,1.0,0,0,0,85.0
0,1,1,6858,14978,18.98068296425315,1,1.0,0,0,0,0.0
0,2,2,58264,7040,18.94537723758192,0,10.0,0,0,0,0.0
1,1,1,46572,5085,18.919776431436965,0,4.0,0,1,31,48.666666666666664
0,1,1,13853,301,18.866341030772784,0,1.0,0,0,0,0.0
0,1,1,32985,1481,18.863161067784468,0,5.0,0,0,0,94.0
0,1,1,18835,2563,18.82395802319299,0,1.0,0,0,0,0.0
1,1,1,13034,9695,18.809413666207668,0,1.0,0,0,0,0.0
0,1,1,77212,35680,18.78440352601957,0,2.0,0,0,0,0.0
1,2,2,27531,3036,18.773197509085456,0,10.0,0,10,33,24.384615384615383
0,1,1,1040,1967,18.76843440922995,0,1.0,0,0,0,0.0
0,1,1,4587,510,18.751318342101907,0,3.0,0,0,0,0.0
1,1,1,30529,6686,18.719673318399217,0,1.0,0,0,0,0.0
1,1,1,9285,231,18.718044265492782,0,1.0,0,0,0,0.0
1,1,1,145151,4444,18.71548789238457,1,6.0,0,0,0,4.0
0,1,1,39931,10968,18.691227238849443,0,8.0,0,0,0,0.0
1,1,1,1622,2684,18.686171879760032,0,8.0,0,0,0,0.0
0,1,1,107645,69772,18.68610536646371,0,2.0,0,0,0,0.0
1,1,1,157184,6385,18.65323829165447,0,1.0,0,0,0,0.0
1,1,1,214056,84248,18.64763875303303,1,1.0,0,0,0,0.0
1,1,1,149,1,18.59103175503572,0,1.0,0,0,0,0.0
1,1,1,262288,16979,18.535287306788703,0,1.0,0,0,0,0.0
1,1,1,13939,608,18.52445654019048,0,1.0,0,0,0,0.0
0,1,1,99183,13627,18.52112859383208,0,2.0,0,0,0,0.0
1,1,1,9844,775,18.515612553322025,0,1.0,0,0,0,0.0
0,1,1,290210,14429,18.513444993051284,1,1.0,0,1,0,28.0
1,1,1,51691,783,18.49475982687895,0,1.0,0,0,0,0.0
0,3,2,505369,86568,18.475255491948538,1,27.0,0,9,43,55.58139534883721
0,1,1,15652,27241,18.473701032800815,0,1.0,0,0,0,0.0
0,1,1,89599,3705,18.442813798030116,1,1.0,0,0,0,0.0
0,1,1,678867,2428,18.427988431082056,0,1.0,0,0,0,0.0
0,1,1,9156,39193,18.399512121096507,0,1.0,0,0,0,0.0
1,1,1,32933,591,18.396911416353436,0,2.0,0,0,1,71.66666666666667
1,1,1,213003,1074,18.387843204575606,0,1.0,0,0,0,0.0
0,1,1,8668,1033,18.375955798689223,0,2.0,0,0,0,0.0
0,1,1,38308,1601,18.372938015334345,0,1.0,0,0,0,0.0
0,1,1,15852,12426,18.36783357139691,0,1.0,0,0,0,0.0
1,1,1,30314,1148,18.362341930714475,0,1.0,0,0,0,0.0
0,1,1,34541,1537,18.351950234261007,0,3.0,0,0,0,0.0
1,1,1,59766,76933,18.345927184345932,1,1.0,0,0,0,30.0
0,1,1,47365,38548,18.31507870410662,0,1.0,0,0,0,0.0
0,1,1,142489,17196,18.285621235858088,0,1.0,0,0,0,0.0
0,1,1,3342,284,18.26604538091348,0,2.0,0,0,0,0.0
1,1,1,32694,1947,18.262522711255453,1,3.0,0,3,20,99.0
1,1,1,28798,5179,18.255690125760996,0,1.0,0,0,0,0.0
0,1,1,16390,824,18.249340656853345,0,1.0,0,0,0,0.0
0,1,1,58998,2161,18.24496608464253,0,1.0,0,3,7,44.8
1,1,1,40771,1821,18.23875347658615,0,1.0,0,0,0,0.0
1,1,1,83148,427,18.230007976294623,0,1.0,0,0,0,0.0
1,1,1,4620,102,18.202086271221994,0,2.0,0,0,0,0.0
0,1,1,19696,3135,18.156324141021976,0,1.0,0,0,0,42.0
1,1,1,24877,5355,18.156120798562476,0,1.0,0,0,0,0.0
1,1,1,9736,4119,18.15220998151682,0,1.0,0,0,0,0.0
1,1,1,45464,2,18.12886428982924,0,1.0,0,0,0,0.0
0,1,1,636940,86774,18.126889931829897,0,2.0,0,1,21,64.0
0,1,1,113866,28234,18.110408482036505,0,2.0,0,0,0,0.0
0,1,1,316960,27544,18.10424454688301,0,2.0,0,1,46,84.10416666666667
1,1,1,14065,2636,18.103525956115647,0,1.0,0,0,0,0.0
0,1,1,119403,251,18.097398018629907,0,2.0,0,0,0,0.0
0,1,1,3504,62,18.07976882629589,0,2.0,0,0,0,0.0
0,1,1,4772,207,18.05895269959424,0,1.0,0,0,0,0.0
0,1,1,23302,8268,18.057335624785,0,5.0,0,0,0,0.0
0,1,1,16244,180,18.038025094199657,0,1.0,0,0,0,0.0
1,1,1,64316,10970,18.037061174256444,0,3.0,0,0,0,0.0
0,1,1,49228,6306,18.034510409939767,0,1.0,0,0,0,81.0
0,1,1,14760,3317,18.03296973511025,0,1.0,0,0,0,0.0
0,1,1,26771,1822,18.027589287927952,1,3.0,0,0,0,51.5
1,1,1,6530,3250,18.014530722004057,0,1.0,0,0,0,0.0
0,1,1,118439,73848,18.01395352348452,0,2.0,0,0,0,10.0
0,1,1,110698,19106,18.003705722637815,0,2.0,0,1,2,82.0
0,1,1,31156,183,18.000096671252415,0,1.0,0,0,0,0.0
0,2,2,75393,470,17.94701991636611,0,13.0,0,2,28,160.30555555555554
1,1,1,51014,2892,17.93130420921474,0,1.0,0,0,0,0.0
0,1,1,44663,439,17.918093920726392,0,1.0,0,1,23,38.666666666666664
0,1,1,2206,37,17.90934452280006,0,1.0,0,0,0,0.0
1,1,1,24387,1374,17.903433521963493,0,1.0,0,0,0,0.0
0,1,1,111158,19372,17.90323455246011,0,1.0,0,0,24,53.666666666666664
0,1,1,82094,96967,17.900289271450145,0,9.0,0,0,0,0.0
1,1,1,61216,58709,17.882884208961237,0,1.0,0,0,0,0.0
0,1,1,14758,1218,17.882253109004335,0,1.0,0,0,0,0.0
1,6,3,88926,875,17.866236745275785,0,58.0,0,0,0,0.0
1,1,1,97344,1552,17.84996608464253,0,6.0,0,1,31,100.0
1,1,1,1354,104,17.839113928585036,0,1.0,0,0,0,0.0
0,1,1,1554,203,17.814650027654675,0,1.0,0,0,0,0.0
0,1,1,13088,5807,17.811150965622073,0,1.0,0,0,0,0.0
0,1,1,7199,5028,17.807000935201508,0,6.0,0,0,0,0.0
1,1,1,56586,16940,17.776648341848404,0,1.0,0,0,0,0.0
0,1,1,31095,16259,17.77398429261779,0,1.0,0,0,0,0.0
0,1,1,2620,63,17.76606838646523,0,1.0,0,0,0,0.0
0,1,1,1505,105,17.740373054754325,0,1.0,0,0,0,0.0
1,1,1,28187,2340,17.73286811141263,0,1.0,0,0,0,0.0
1,5,3,226604,6764,17.73041247473557,1,41.0,0,5,51,158.93333333333334
0,1,1,154449,3029,17.721554101475245,0,1.0,0,1,50,12.0
0,1,1,47256,4393,17.717657797573807,0,1.0,0,0,0,0.0
0,1,1,204095,12107,17.71423944510087,0,1.0,0,0,0,0.0
1,1,1,16533,520,17.709985921385503,0,1.0,0,0,0,0.0
1,1,1,387179,20763,17.706563481149235,1,4.0,0,0,0,0.0
0,1,1,80700,3466,17.700011366920016,0,1.0,0,0,0,0.0
1,1,1,41226,1,17.69638396813177,0,3.0,0,1,0,10.0
1,1,1,160101,11723,17.696131509136155,0,1.0,0,0,0,33.5
1,1,1,85060,154,17.69464384847755,0,1.0,0,0,0,0.0
1,1,1,32826,2035,17.693888531216416,0,2.0,0,0,0,0.0
0,1,1,118211,86,17.65773676428864,0,1.0,0,0,0,0.0
0,1,1,14349,3566,17.65603533578964,0,1.0,0,0,0,312.5
0,1,1,7603,1347,17.655366685448676,0,2.0,0,0,0,0.0
0,1,1,3183,41,17.65408791266494,0,1.0,0,1,1,364.125
1,1,1,171046,20564,17.650641516234288,1,5.0,0,0,0,0.0
1,1,1,110825,309,17.64435193781261,0,4.0,0,1,1393,47.7
1,1,1,347106,15768,17.58936828886592,0,2.0,0,1,0,153.46153846153845
1,1,1,9916,1000,17.58190669482835,0,1.0,0,0,0,0.0
0,1,1,182562,5729,17.578937425935912,0,1.0,0,0,0,0.0
1,1,1,22219,4277,17.56874130836043,0,1.0,0,1,0,125.5
0,1,1,41178,1261,17.562450779296118,0,1.0,0,0,0,0.0
1,1,1,56912,556,17.55347066040241,0,1.0,0,0,0,29.0
0,1,1,27537,3169,17.54555164881725,0,1.0,0,0,0,0.0
1,1,1,204693,23725,17.5415560344486,0,1.0,0,0,0,0.0
1,1,1,84281,3183,17.53829079881598,1,2.0,0,0,0,0.0
0,1,1,27564,2383,17.532944067759118,0,1.0,0,0,0,0.0
1,1,1,28443,4297,17.527538491923185,0,1.0,0,0,0,0.0
0,1,1,64988,18461,17.527245852432223,0,3.0,0,0,0,0.0
1,1,1,58207,5725,17.514165833672877,0,2.0,0,0,0,0.0
1,1,1,9533,2289,17.51332213833483,0,1.0,0,0,0,61.0
1,2,2,78044,2863,17.503368117750245,0,13.0,0,5,46,86.66666666666667
1,2,2,296677,179,17.48842734278637,1,16.0,0,0,0,123.0
0,1,1,30517,768,17.487035158336347,0,1.0,0,0,0,0.0
0,4,2,148605,485,17.48311363071701,0,33.0,0,0,0,0.0
0,1,1,35155,964,17.482074895198465,0,1.0,0,4,36,39.41818181818182
1,1,1,2343,187,17.470242087887392,0,1.0,0,0,0,0.0
1,1,1,81535,2437,17.469783846449513,0,5.0,0,0,0,0.0
0,1,1,25909,256,17.458373980046492,0,1.0,0,0,0,0.0
1,1,1,15119,12510,17.45254552667868,0,1.0,0,3,49,14.666666666666666
0,1,1,4991,1470,17.450925695005804,0,1.0,0,0,0,0.0
0,1,1,321,289,17.448399584021445,0,1.0,0,0,0,0.0
0,1,1,13651,7613,17.433926049912387,0,1.0,0,0,0,0.0
1,2,2,137417,5823,17.431948966737494,0,18.0,0,6,49,100.29411764705884
0,3,2,65208,8585,17.42865565545907,0,23.0,0,0,0,0.0
1,1,1,56589,12354,17.424068582931376,0,1.0,0,0,0,0.0
1,1,1,25665,546,17.421696127484825,0,4.0,0,0,0,0.0
1,1,1,52683,259,17.4177542878012,0,1.0,0,0,0,0.0
1,1,1,2243,38,17.41158420515867,0,1.0,0,0,0,64.0
1,1,1,3234,5672,17.40380658582133,0,1.0,0,0,0,0.0
1,1,1,65939,8602,17.403730375970135,0,1.0,0,0,0,0.0
1,1,1,114018,117323,17.39063698483773,1,1.0,0,2,17,70.5
0,1,1,279765,26254,17.38740727155155,1,1.0,0,1,15,25.0
1,2,2,207451,4893,17.381111830833625,0,10.0,0,1,21,182.8
1,1,1,5066,3,17.370549462339188,0,5.0,0,0,0,0.0
0,1,1,32897,4446,17.367898436912665,0,4.0,0,0,0,0.0
1,1,1,179814,39801,17.366338875982812,0,2.0,0,0,0,0.0
1,3,2,49019,3169,17.3536446596926,0,26.0,0,19,13,122.5
1,1,1,80656,1967,17.34510975843268,0,2.0,0,2,40,82.76923076923077
0,1,1,2115,1241,17.34371015897011,0,1.0,0,0,0,0.0
1,1,1,15505,1493,17.323705057187972,0,1.0,0,0,0,0.0
0,1,1,12230,442,17.31659168354739,0,2.0,0,0,0,0.0
