label,precision,support,recall,f1
EV_OBSERVABLE_STATE,1.0,16,1.0,1.0
SCHWARTZ_SELF_TRANSCENDENCE,1.0,14,1.0,1.0
MFT_FAIRNESS,0.9285714285714286,14,1.0,0.962962962962963
NEV,1.0,13,1.0,1.0
EV_HISTORICAL_EVENT,1.0,11,1.0,1.0
EV_QUANTITATIVE,0.9090909090909091,11,1.0,0.9523809523809523
MFT_CARE,0.9,10,1.0,0.9473684210526316
MFT_NONE,1.0,8,1.0,1.0
EV_SCIENTIFIC_LAW_THEORY,1.0,7,1.0,1.0
SCHWARTZ_NONE,1.0,6,1.0,1.0
SRC_NEWS,1.0,6,1.0,1.0
EV_STUDY_FINDING,1.0,5,1.0,1.0
SRC_UNIVERSITY_ACADEMIC_INST,1.0,5,1.0,1.0
SRC_ACAD_EMPIRICAL,0.8,5,1.0,0.888888888888889
MFT_AUTHORITY,0.75,4,1.0,0.8571428571428571
SCHWARTZ_SELF_ENHANCEMENT,0.75,4,1.0,0.8571428571428571
CLAIM_SELF_EXP,1.0,3,1.0,1.0
MFT_LOYALTY,1.0,3,1.0,1.0
SRC_BOOK_NONFIC,1.0,3,1.0,1.0
SRC_COMPANY,1.0,3,1.0,1.0
SRC_GOVERNMENT_AGENCY,1.0,3,1.0,1.0
SRC_GOV_DOC,1.0,3,1.0,1.0
SRC_IMAGE,1.0,3,1.0,1.0
SRC_INDIV_OTHER,1.0,3,1.0,1.0
SRC_PERSONAL_CONTACT,1.0,3,1.0,1.0
SRC_PUBLIC_FIG,1.0,3,1.0,1.0
SRC_RELIGIOUS_FOUNDATIONAL_FIG,1.0,3,1.0,1.0
SRC_UNCLEAR,1.0,3,1.0,1.0
SRC_WIKIPEDIA,1.0,3,1.0,1.0
CLAIM_SELF_HOB,1.0,2,1.0,1.0
CLAIM_SELF_PRO,1.0,2,1.0,1.0
MFT_SANCTITY,1.0,2,1.0,1.0
SRC_ACAD_THEORY,1.0,2,1.0,1.0
SRC_BLOG_FORUM,1.0,2,1.0,1.0
SRC_BOOK_MEDIA,1.0,2,1.0,1.0
SRC_DATASET,1.0,2,1.0,1.0
SRC_EXPERT_INDIV,1.0,2,1.0,1.0
SRC_NGO_OTHER_ORG,1.0,2,1.0,1.0
SRC_SOCIAL_MEDIA,1.0,2,1.0,1.0
SRC_YOUTUBE,1.0,2,1.0,1.0
