model,term,coef,se,t,p
M-main,C(stratum)[1],0.015366520109153105,0.0010551572772503992,14.563250844647758,4.811426205166089e-48
M-main,C(stratum)[2],0.017666338185152314,0.002861448661881463,6.17391408082657,6.661975378421453e-10
M-main,C(stratum)[3],0.024517480684026843,0.004903746387832648,4.9997448368986825,5.740623398685947e-07
M-main,C(stratum)[4],0.03335841781625611,0.008025217744481809,4.156699404099481,3.228783651192055e-05
M-main,C(stratum)[5],0.024133576851342667,0.006236220986398422,3.8699040499012893,0.00010887819564935407
M-main,C(stratum)[6],0.0493613861914944,0.012447573061197585,3.965542997724355,7.32290495325803e-05
M-main,C(stratum)[7],0.05563674334278523,0.005411851709998824,10.280537295578878,8.62454523338591e-25
M-main,C(group)[T.1],-0.0005869166484343001,0.0014210522084168683,-0.41301554225664805,0.6795952266108269
M1,stratum_1,75254870195.918,75722835392.8067,0.9938200254327355,0.320310495017755
M1,stratum_2,24106383.450641297,24256286.68828049,0.9938200253169164,0.320310495074151
M1,stratum_3,24106383.45746978,24256286.6882686,0.9938200255989175,0.3203104949368356
M1,stratum_4,24106383.46639352,24256286.68826742,0.9938200259668596,0.3203104947576729
M1,stratum_5,177299.6934303287,178402.2199008828,0.993819995787235,0.3203105094531027
M1,stratum_6,177299.7185437299,178402.21990089669,0.993820136555592,0.32031044090846583
M1,stratum_7,177299.7249334682,178402.21990085577,0.993820172372293,0.32031042346816463
M1,subgroup_1,-75254870195.90306,75722835392.8074,-0.993820025432529,0.3203104950178556
M1,subgroup_2,-24106383.439250197,24256286.688267417,-0.9938200248478376,0.3203104953025605
M1,subgroup_3,-177299.65796898847,178402.2199008758,-0.9938197970154187,0.3203106062415043
M1,group_int_subgroup1,-0.000873174493876817,0.0014807004278906395,-0.5897036817371051,0.5553893264565839
M1,group_int_subgroup2,0.012011228449788247,0.004645817170909747,2.5853855216252946,0.009727016814390393
M1,group_int_subgroup3,-0.023242439187794832,0.011504755115239846,-2.0202463203242447,0.04335784378489319
M3,stratum_1,0.015510622431682261,0.0010771764116299092,14.399333539259976,5.224487697394107e-47
M3,stratum_2,0.011520473909860066,0.002840251304189923,4.056145980063499,4.9889085640121544e-05
M3,stratum_3,0.018542113900579204,0.00621199304042106,2.9848896771015037,0.002836806169444585
M3,stratum_4,0.02525235360741556,0.005775988334115209,4.371953706738888,1.2313963906510701e-05
M3,stratum_5,0.034982242907780514,0.010947879829209613,3.1953440715019314,0.001396642288251432
M3,stratum_6,0.060497548534634106,0.0219218010737978,2.7596979067082343,0.00578548329028201
M3,stratum_7,0.06745761696179413,0.008552962473615103,7.887046993353829,3.0942091561985957e-15
M3,group_int_stratum1,-0.0008751212934926235,0.0014807847600696918,-0.5909848055509679,0.5545306017484953
M3,group_int_stratum2,0.011726004537582286,0.005605811009731205,2.091758804787916,0.036460097178541595
M3,group_int_stratum3,0.011363816918460789,0.0096823392204697,1.1736644068859137,0.24052947222465182
M3,group_int_stratum4,0.015844294585702065,0.016080844498786828,0.9852899570602397,0.32448166438792925
M3,group_int_stratum5,-0.022284248761310094,0.012038077771898435,-1.8511467680770608,0.06414844143483561
M3,group_int_stratum6,-0.02308650995396142,0.024534810601010537,-0.9409695607354936,0.34672045832218124
M3,group_int_stratum7,-0.02422866388645204,0.010349721552052115,-2.3409966890991427,0.019232337665316485
