measure,label,content,stratum,tier,n_visible,n_hidden,mean_visible,mean_hidden,delta,U_stat,p_value,sig
mean_A1_count,A1 quoting (count),All,1,1–9,5538,4706,0.09592877779497497,0.09687319279860716,-0.0009444150036321958,13043757.5,0.8393245912392595,
mean_A1_count,A1 quoting (count),All,2,10–19,632,960,0.12694268635724332,0.127109375,-0.00016668864275667938,304367.0,0.8238109871381327,
mean_A1_count,A1 quoting (count),All,3,20–29,277,452,0.11630565583634177,0.11309260429835652,0.003213051537985248,62711.5,0.9339545794539839,
mean_A1_count,A1 quoting (count),All,4,30–39,343,202,0.11594474524503677,0.19174917491749174,-0.07580442967245497,32896.5,0.049550147653864805,**
mean_A1_count,A1 quoting (count),All,5,40–49,321,198,0.09880581516095535,0.1268939393939394,-0.02808812423298404,31292.0,0.511067788795015,
mean_A1_count,A1 quoting (count),All,6,50–99,890,511,0.14544408774745854,0.1479125896934116,-0.00246850194595305,225271.5,0.5484497054143795,
mean_A1_count,A1 quoting (count),All,7,100+,1067,1239,0.1638472352389878,0.15216326350656278,0.011683971732425025,678301.0,0.03916899456998383,**
mean_A1_count,A1 quoting (count),Subjective,1,1–9,3079,2627,0.09337601880635332,0.08564477226449056,0.00773124654186276,4078802.5,0.1717075362975874,
mean_A1_count,A1 quoting (count),Subjective,2,10–19,360,524,0.1487037037037037,0.13196564885496184,0.016738054848741857,94209.5,0.954496031188256,
mean_A1_count,A1 quoting (count),Subjective,3,20–29,157,242,0.07547770700636942,0.1464236521054703,-0.07094594509910086,18406.0,0.2719793765445142,
mean_A1_count,A1 quoting (count),Subjective,4,30–39,182,114,0.09226844583987442,0.10058479532163742,-0.008316349481762991,9982.5,0.24901765971732004,
mean_A1_count,A1 quoting (count),Subjective,5,40–49,181,111,0.0938305709023941,0.08858858858858858,0.005241982313805529,10184.0,0.6599995744753302,
mean_A1_count,A1 quoting (count),Subjective,6,50–99,466,282,0.16109748620478234,0.15177304964539007,0.009324436559392274,64796.5,0.5298741682319553,
mean_A1_count,A1 quoting (count),Subjective,7,100+,573,662,0.15728621291448516,0.14501510574018128,0.01227110717430388,197415.5,0.015028226196222023,**
mean_A1_count,A1 quoting (count),Factual,1,1–9,2459,2079,0.09912517670752725,0.11106129320415033,-0.011936116496623073,2534154.5,0.26153834843866053,
mean_A1_count,A1 quoting (count),Factual,2,10–19,272,436,0.09814133986928104,0.12127293577981652,-0.02313159591053547,59796.5,0.6978849667688283,
mean_A1_count,A1 quoting (count),Factual,3,20–29,120,210,0.16972222222222222,0.07468253968253968,0.09503968253968254,13138.0,0.17497332725496362,
mean_A1_count,A1 quoting (count),Factual,4,30–39,161,88,0.1427092576160899,0.3098484848484848,-0.1671392272323949,6600.5,0.0939114270837962,*
mean_A1_count,A1 quoting (count),Factual,5,40–49,140,87,0.10523809523809524,0.1757662835249042,-0.07052818828680896,5774.5,0.14002667248038247,
mean_A1_count,A1 quoting (count),Factual,6,50–99,424,229,0.12824011680143757,0.14315866084425036,-0.014918544042812787,48406.0,0.8938603222577004,
mean_A1_count,A1 quoting (count),Factual,7,100+,494,577,0.1714574898785425,0.16036444278099013,0.011093047097552378,143816.5,0.6362907411282261,
mean_A1_binary,A1 quoting (binary),All,1,1–9,5538,4706,0.04720137061686357,0.047840434580766075,-0.0006390639639025086,13043316.0,0.844762138577256,
mean_A1_binary,A1 quoting (binary),All,2,10–19,632,960,0.07196729957805906,0.07092681623931624,0.0010404833387428203,304250.5,0.8438908746507605,
mean_A1_binary,A1 quoting (binary),All,3,20–29,277,452,0.056317689530685916,0.05324747155499368,0.0030702179756922354,62701.5,0.9399975341382119,
mean_A1_binary,A1 quoting (binary),All,4,30–39,343,202,0.05201305011800638,0.08531353135313532,-0.033300481235128944,32900.0,0.049982400900810686,**
mean_A1_binary,A1 quoting (binary),All,5,40–49,321,198,0.050415368639667696,0.06074635241301908,-0.010330983773351385,31298.0,0.5162393128231795,
mean_A1_binary,A1 quoting (binary),All,6,50–99,890,511,0.06617710005350455,0.07408132202652751,-0.007904221973022957,225164.0,0.5282667440656235,
mean_A1_binary,A1 quoting (binary),All,7,100+,1067,1239,0.08309903155263978,0.06930711233532584,0.013791919217313944,678418.5,0.03780381634032112,**
mean_A1_binary,A1 quoting (binary),Subjective,1,1–9,3079,2627,0.04604850059543142,0.041114115762003085,0.004934384833428333,4078556.5,0.17474587773436034,
mean_A1_binary,A1 quoting (binary),Subjective,2,10–19,360,524,0.07240740740740739,0.0778148854961832,-0.005407478088775813,94046.5,0.8873536542848043,
mean_A1_binary,A1 quoting (binary),Subjective,3,20–29,157,242,0.043949044585987265,0.05916469893742621,-0.015215654351438943,18415.5,0.27973135854321096,
mean_A1_binary,A1 quoting (binary),Subjective,4,30–39,182,114,0.04733124018838304,0.06783625730994153,-0.020505017121558486,9979.0,0.244780180882344,
mean_A1_binary,A1 quoting (binary),Subjective,5,40–49,181,111,0.05883977900552485,0.04454454454454455,0.014295234460980306,10194.0,0.6370369291000786,
mean_A1_binary,A1 quoting (binary),Subjective,6,50–99,466,282,0.06770641733088086,0.08157998423955871,-0.013873566908677859,64714.5,0.49329830244524464,
mean_A1_binary,A1 quoting (binary),Subjective,7,100+,573,662,0.08196625945317045,0.061052366565961726,0.02091389288720872,197479.5,0.014191652617947659,**
mean_A1_binary,A1 quoting (binary),Factual,1,1–9,2459,2079,0.04864491953755882,0.05633973209730785,-0.007694812559749034,2534167.5,0.26176651572406473,
mean_A1_binary,A1 quoting (binary),Factual,2,10–19,272,436,0.07138480392156862,0.06264849447188896,0.008736309449679666,59864.5,0.6591832990413342,
mean_A1_binary,A1 quoting (binary),Factual,3,20–29,120,210,0.0725,0.04642857142857143,0.026071428571428565,13122.0,0.18813756869560283,
mean_A1_binary,A1 quoting (binary),Factual,4,30–39,161,88,0.05730553090801537,0.10795454545454546,-0.050649014546530084,6607.5,0.09869580982683591,*
mean_A1_binary,A1 quoting (binary),Factual,5,40–49,140,87,0.039523809523809524,0.08141762452107279,-0.041893814997263266,5765.5,0.12899977181086822,
mean_A1_binary,A1 quoting (binary),Factual,6,50–99,424,229,0.06449629380053909,0.0648471615720524,-0.0003508677715133163,48419.0,0.9035335388470375,
mean_A1_binary,A1 quoting (binary),Factual,7,100+,494,577,0.08441295546558705,0.07877789517643334,0.005635060289153712,143858.5,0.6253051402707819,
mean_A2,A2 paraphrase,All,1,1–9,5538,4706,0.019984221568728613,0.020156232656232655,-0.0001720110875040419,13053852.0,0.6269932151553335,
mean_A2,A2 paraphrase,All,2,10–19,632,960,0.029148457906369298,0.024000279234654236,0.005148178671715062,308542.0,0.11347075188157467,
mean_A2,A2 paraphrase,All,3,20–29,277,452,0.04263365996217982,0.025160127483136334,0.017473532479043485,64038.0,0.22629139065999393,
mean_A2,A2 paraphrase,All,4,30–39,343,202,0.02471192558656115,0.025945094509450945,-0.0012331689228897956,33863.0,0.24296387860512658,
mean_A2,A2 paraphrase,All,5,40–49,321,198,0.026019878356326957,0.02751122334455668,-0.0014913449882297224,31507.5,0.6657400586819615,
mean_A2,A2 paraphrase,All,6,50–99,890,511,0.022680577849117173,0.03452924548814959,-0.011848667639032417,223222.5,0.12689918228691166,
mean_A2,A2 paraphrase,All,7,100+,1067,1239,0.037910028116213676,0.02871943913895698,0.009190588977256695,671261.5,0.10755383130776548,
mean_A2,A2 paraphrase,Subjective,1,1–9,3079,2627,0.021094768967454908,0.019521510718693815,0.0015732582487610926,4072722.0,0.14789799686507146,
mean_A2,A2 paraphrase,Subjective,2,10–19,360,524,0.033039021164021166,0.021213566967383763,0.011825454196637403,96908.0,0.05982768366424282,*
mean_A2,A2 paraphrase,Subjective,3,20–29,157,242,0.04814983318168031,0.022337648577317994,0.02581218460436232,19739.5,0.14293585858730937,
mean_A2,A2 paraphrase,Subjective,4,30–39,182,114,0.027472527472527472,0.031725146198830406,-0.004252618726302934,10057.5,0.24593723232657705,
