status,n,block,term,coef,se,p,sig
Low,10244,Interaction,T×Q2,0.003095755683331359,0.01596148310786361,0.8462137554411095,
Low,10244,Interaction,T×Q3,0.0066046529143488466,0.016305811270223437,0.6854414769272734,
Low,10244,Interaction,T×Q4,0.042359869648199495,0.018461062006533177,0.021758802761847128,**
Low,10244,Control,Poster Length ($\ell^{op}_{j}/100$),0.0032101747865672507,0.0013502275752237643,0.017430137525837237,**
Low,10244,Control,Poster Status ($r^{op}_{j}/10$),7.941988219257906e-05,0.0012363783108380452,0.9487823867690747,
Low,10244,Control,Poster Tenure ($\tau^{op}_{j}/100$),-0.00295914011124479,0.0002787478733404134,2.515480650482821e-26,***
Low,10244,AdjR2,Adj R²,0.007074985271020795,,,
Mid,2866,Interaction,T×Q2,-0.041760513322742464,0.03129041286869771,0.18200386218718034,
Mid,2866,Interaction,T×Q3,-0.01900185413601662,0.02897956446625274,0.5120181967041313,
Mid,2866,Interaction,T×Q4,-0.04859259506755986,0.03939275700028555,0.21737385540384446,
Mid,2866,Control,Poster Length ($\ell^{op}_{j}/100$),0.003485288968982573,0.0024546100798907154,0.15563820558452338,
Mid,2866,Control,Poster Status ($r^{op}_{j}/10$),0.0033023002293272544,0.003513564038028665,0.34728325489260825,
Mid,2866,Control,Poster Tenure ($\tau^{op}_{j}/100$),-0.0028717943987296357,0.0006011605831568687,1.7785579125495395e-06,***
Mid,2866,AdjR2,Adj R²,0.003884623573232049,,,
High,4226,Interaction,T×Q2,-0.056361459082034195,0.027581998034823637,0.041011407658808584,**
High,4226,Interaction,T×Q3,-0.010031508618179443,0.02909105712296634,0.7302211600549886,
High,4226,Interaction,T×Q4,-0.021254033212821904,0.02760385829300056,0.4413200429458257,
High,4226,Control,Poster Length ($\ell^{op}_{j}/100$),0.003539588934774328,0.002007134636940617,0.07781560938222284,*
High,4226,Control,Poster Status ($r^{op}_{j}/10$),0.0025564709703564436,0.0023983610818166844,0.28645793617151183,
High,4226,Control,Poster Tenure ($\tau^{op}_{j}/100$),-0.0033691085720076444,0.0005273444192446906,1.6717069484854165e-10,***
High,4226,AdjR2,Adj R²,0.005362202780217706,,,
