status,quartile,n,psi_mean,psi_se
Low Status,Q1,2903,-0.003769685427512497,0.010792999883683282
Low Status,Q2,2803,-0.00038147529028468365,0.012189836092853847
Low Status,Q3,2505,0.002512613215592953,0.011912204396888556
Low Status,Q4,2033,0.03770967649233708,0.01512439984991363
Mid Status,Q1,805,0.015618906320351551,0.02333047952426774
Mid Status,Q2,774,-0.030672682874933854,0.02307804447513808
Mid Status,Q3,739,-0.013743008579377434,0.022962173067387976
Mid Status,Q4,548,-0.02023282497294323,0.030436002630157447
High Status,Q1,1188,0.009190797626292565,0.019685935012176893
High Status,Q2,1087,-0.04776520457838689,0.02069712731996591
High Status,Q3,1099,0.0003450937179063234,0.020321326822234698
High Status,Q4,852,-0.014679900387710243,0.02534353641324935
