col,term,q,n,coef,se,p,sig
Low,T,,10244,-0.008041647768726819,0.011422110975953715,0.4814065139165661,
Low,TxQ2,2.0,10244,0.012325683742476171,0.01610037959708863,0.443942694815908,
Low,TxQ3,3.0,10244,0.0038318931341097245,0.016170256338836207,0.8126787451318024,
Low,TxQ4,4.0,10244,0.05309993027905463,0.01840811838908637,0.003919199245254346,***
Mid,T,,2866,0.012332348605711009,0.02254116831027499,0.5843077336305359,
Mid,TxQ2,2.0,2866,-0.0382739293136286,0.031755651680504524,0.2281015781330359,
Mid,TxQ3,3.0,2866,-0.014510422660228586,0.030125684473655885,0.6300454797948976,
Mid,TxQ4,4.0,2866,-0.05113640209388845,0.03913875711098615,0.19136854812378645,
High,T,,4226,0.007964295332999319,0.02041306936967467,0.6964206940819702,
High,TxQ2,2.0,4226,-0.05235612303996466,0.028457932468411558,0.06580163678265546,*
High,TxQ3,3.0,4226,-0.009030262948194936,0.028542369089723286,0.7517133453619976,
High,TxQ4,4.0,4226,-0.01327081676855304,0.027312898088019684,0.6270515783516606,
Full,T,,17336,-0.0001219836552464819,0.009196268980405705,0.9894167926834109,
Full,TxQ2,2.0,17336,-0.012928788723033428,0.012894634022441162,0.3160303641349955,
Full,TxQ3,3.0,17336,-0.0032014854296190383,0.012841758704131461,0.8031266241631566,
Full,TxQ4,4.0,17336,0.01942369634108596,0.014144148863756246,0.16966928148567761,
