col,term,q,n,coef,se,p,sig
Low,T,,10244,0.00023916402972880193,0.011925880277329824,0.9840001331206459,
Low,TxQ2,2.0,10244,-0.01163750526315198,0.016170544136847723,0.47172630627931,
Low,TxQ3,3.0,10244,0.01028121291263511,0.016128867913634482,0.5238371762910747,
Low,TxQ4,4.0,10244,0.03172976863948992,0.018039635900505984,0.07859587900383537,*
Mid,T,,2866,0.01591779293556883,0.023682937810093386,0.5015068541953619,
Mid,TxQ2,2.0,2866,-0.045002127172945175,0.029376094679140288,0.1255396553013137,
Mid,TxQ3,3.0,2866,-0.021103583053983816,0.030534054784334363,0.48947187649459734,
Mid,TxQ4,4.0,2866,-0.04794463447895822,0.03633856875433637,0.18703977236337477,
High,T,,4226,0.009220827637628186,0.022294539166362447,0.679173439202822,
High,TxQ2,2.0,4226,-0.04455073387379044,0.026844255343813288,0.09699489056606367,*
High,TxQ3,3.0,4226,-0.002750814834267514,0.033791278951688625,0.9351190310444168,
High,TxQ4,4.0,4226,-0.03220380069207309,0.027653364525649638,0.24420009409351684,
Full,T,,17336,0.005701774859817469,0.009729556436258868,0.5578579171608827,
Full,TxQ2,2.0,17336,-0.025825771670597478,0.012558004559737346,0.039732542170300054,**
Full,TxQ3,3.0,17336,0.0005969326561525406,0.013546657796625783,0.9648526398552384,
Full,TxQ4,4.0,17336,0.0026497133660512238,0.013905169127502082,0.8488734677035411,
